sports_person_id,name,team_abbr,team_name,position,position_desc,team_id,headshot_url,flag_url,assists,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_on_target,attempt_at_goal_outside_the_penalty_area,attempted_switches_of_play,avg_speed,corners,crosses,crossing_accuracy_rate,defensive_pressures_applied,direct_defensive_pressures_applied,fdcp_top_scorer_rank,forced_turnovers,fouls_against,fouls_for,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,goalkeeper_saves,goals,headed_attempt_at_goal,indirect_red_cards,linebreak_attempted_defensive_line_rate,linebreaks_attempted_defensive_line,number_of_involvements,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,offers_to_receive_total,offsides,own_goals,passes,passing_accuracy_rate,possession,receptions_between_midfield_and_defensive_line,receptions_in_behind,receptions_under_pressure,red_cards,speed_runs,sprints,switches_of_play_rate,total_competition_matches_played,total_competition_minutes_played,total_distance,xg,xg_goal_effiency_rate,yellow_cards
389867,Kylian Mbappe,FRA,France,FW,Forward,285023_43946,https://digitalhub.fifa.com/transform/66f6087d-9563-4644-8f10-5614ef6e1e51/MBAPPE-Kylian_389867,https://api.fifa.com/api/v3/picture/flags-sq-3/FRA,2.0,21.0,29.0,14.0,13.0,7.0,9.0,5.45,3.0,6.0,17.0,100.0,8.0,1.0,14.0,4.0,3.0,,,,6.0,0.0,0.0,89.0,18.0,337.0,113.0,67.0,47.0,157.0,70.0,227.0,2.0,0.0,125.0,90.0,,91.0,16.0,97.0,0.0,278.0,137.0,89.0,,378.0,34419.19,2.43,2.47x,0.0
229397,Lionel Messi,ARG,Argentina,FW,Forward,285023_43922,https://digitalhub.fifa.com/transform/19823774-fac0-485a-8a8f-572e7324c6c2/MESSI-Lionel_229397,https://api.fifa.com/api/v3/picture/flags-sq-3/ARG,0.0,15.0,40.0,7.0,9.0,8.0,3.0,4.58,7.0,7.0,43.0,48.0,10.0,2.0,4.0,1.0,6.0,,,,6.0,0.0,0.0,86.0,7.0,255.0,16.0,58.0,16.0,63.0,27.0,90.0,2.0,0.0,101.0,75.0,,57.0,1.0,62.0,0.0,151.0,69.0,67.0,,223.0,17230.39,3.08,1.95x,0.0
419652,Erling Haaland,NOR,Norway,FW,Forward,285023_43961,https://digitalhub.fifa.com/transform/ee269811-9f84-401f-99b8-e953a2704ebb/HAALAND-Erling_419652,https://api.fifa.com/api/v3/picture/flags-sq-3/NOR,0.0,,,,,,0.0,4.29,,0.0,0.0,70.0,4.0,3.0,9.0,4.0,3.0,,,,5.0,,0.0,25.0,4.0,99.0,36.0,13.0,0.0,38.0,11.0,49.0,0.0,0.0,26.0,65.0,,36.0,7.0,40.0,0.0,240.0,112.0,0.0,,309.0,29515.46,,,0.0
369419,Harry Kane,ENG,England,FW,Forward,285023_43942,https://digitalhub.fifa.com/transform/5ad83fe6-1139-4f92-a97c-669052eb1755/KANE-Harry_369419,https://api.fifa.com/api/v3/picture/flags-sq-3/ENG,,,,,,,1.0,6.63,,1.0,0.0,152.0,12.0,4.0,18.0,5.0,6.0,,,,,,0.0,67.0,6.0,169.0,24.0,46.0,17.0,74.0,13.0,87.0,1.0,0.0,59.0,75.0,,44.0,4.0,52.0,0.0,514.0,168.0,100.0,,394.0,43443.8,,,0.0
398680,Ousmane Dembele,FRA,France,FW,Forward,285023_43946,https://digitalhub.fifa.com/transform/e6eee717-fd8c-4f8f-a7e0-c4f978fe327f/DEMBELE-Ousmane_398680,https://api.fifa.com/api/v3/picture/flags-sq-3/FRA,2.0,10.0,40.0,6.0,5.0,4.0,3.0,6.35,7.0,14.0,14.0,137.0,6.0,5.0,15.0,0.0,2.0,,,,4.0,0.0,0.0,59.0,17.0,387.0,25.0,44.0,27.0,34.0,62.0,96.0,2.0,0.0,157.0,83.0,,81.0,9.0,67.0,0.0,404.0,125.0,100.0,,304.0,32227.35,0.98,4.08x,0.0
430751,Mikel Oyarzabal,ESP,Spain,FW,Forward,285023_43969,https://digitalhub.fifa.com/transform/2f46ed20-b155-4201-8b97-badbc3619450/OYARZABAL-Mikel_430751,https://api.fifa.com/api/v3/picture/flags-sq-3/ESP,1.0,17.0,24.0,13.0,8.0,4.0,2.0,5.78,0.0,8.0,13.0,105.0,8.0,6.0,28.0,2.0,2.0,,,,4.0,5.0,0.0,33.0,3.0,200.0,89.0,52.0,5.0,118.0,28.0,146.0,0.0,0.0,64.0,77.0,,71.0,11.0,75.0,0.0,349.0,157.0,50.0,,333.0,31944.17,2.78,1.44x,0.0
405742,Vinicius Junior,BRA,Brazil,FW,Forward,285023_43924,https://digitalhub.fifa.com/transform/1c2722c3-a70b-49d8-bdb4-77109161f533/VINICIUS-JUNIOR_405742,https://api.fifa.com/api/v3/picture/flags-sq-3/BRA,1.0,15.0,27.0,12.0,10.0,3.0,4.0,5.72,1.0,14.0,43.0,120.0,7.0,7.0,9.0,4.0,9.0,,,,4.0,1.0,0.0,80.0,10.0,333.0,89.0,104.0,27.0,103.0,117.0,220.0,3.0,0.0,120.0,81.0,,71.0,15.0,90.0,0.0,421.0,208.0,100.0,,398.0,37923.91,3.07,1.3x,0.0
401889,Ismaila Sarr,SEN,Senegal,FW,Forward,285023_43879,https://digitalhub.fifa.com/transform/695226c6-92b8-4aa6-995e-dcdd2d08eb96/SARR-Ismaila_401889,https://api.fifa.com/api/v3/picture/flags-sq-3/SEN,,,,15.0,,2.0,0.0,6.69,,2.0,0.0,157.0,11.0,8.0,18.0,1.0,9.0,,,,,2.0,0.0,50.0,10.0,213.0,68.0,51.0,8.0,96.0,31.0,127.0,2.0,0.0,73.0,78.0,,73.0,7.0,102.0,0.0,556.0,216.0,0.0,,419.0,46719.89,,,0.0
484851,Deniz Undav,GER,Germany,FW,Forward,285023_43948,https://digitalhub.fifa.com/transform/3ec30e08-a7eb-4781-aea8-0e9ff86ebef1/UNDAV-Deniz_484851,https://api.fifa.com/api/v3/picture/flags-sq-3/GER,2.0,6.0,50.0,5.0,4.0,1.0,0.0,6.03,0.0,2.0,0.0,53.0,7.0,9.0,6.0,3.0,0.0,,,,3.0,0.0,0.0,50.0,4.0,85.0,12.0,7.0,0.0,13.0,6.0,19.0,0.0,0.0,31.0,74.0,,27.0,5.0,30.0,0.0,205.0,59.0,0.0,,174.0,17404.37,1.43,2.1x,0.0
502727,Johan Manzambi,SUI,Switzerland,MF,Midfielder,285023_43971,https://digitalhub.fifa.com/transform/a0cb9413-32ea-4b8f-9801-55474cb12b77/MANZAMBI-Johan_502727,https://api.fifa.com/api/v3/picture/flags-sq-3/SUI,,,,4.0,,2.0,0.0,6.6,,7.0,43.0,102.0,13.0,10.0,14.0,3.0,3.0,,,,,0.0,0.0,57.0,7.0,153.0,37.0,66.0,12.0,82.0,33.0,115.0,1.0,0.0,54.0,80.0,,36.0,5.0,57.0,0.0,345.0,113.0,0.0,,,24380.51,,,0.0
